FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;798;49,12;47,62;241,72;1060343,45
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;600;36,93;35,81;181,74;797231,58
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;200;12,31;11,93;60,58;265743,86
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;7985;491,5;476,54;2418,76;10610277,68
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;33;KG;71,5;73,74;71,5;362,88;1591831,18
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;33;KG;225;251;225;3300;13598046
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;86;19,66;18,92;1444,2;5950999,4
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;21;4,8;4,62;350,79;1445472,28
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;113;25,83;24,86;3388,79;13963915,84
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;241;55,1;53,02;5254,43;21651509,34
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;60;13,71;13,2;1682,6;6933355,21
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;5;11;U;228;52,13;50,16;4975,33;20501444,3
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;12;2,74;2,64;54,66;225233,08
2310;3;27;ABW;3;BOG;11;9;249;1;104;2;8;2;11;33;KG;52,4;54,65;52,4;582,4;2468706,24
2310;3;27;ABW;3;BOG;11;9;249;1;104;2;8;2;11;33;KG;29,1;30,33;29,1;230,69;977860,29
2310;3;27;ABW;3;BOG;25;0;580;1;199;1;8;2;11;33;KG;41,88;57,32;41,88;2393,64;10022194,61
2310;3;27;ABW;3;BOG;25;0;580;1;199;1;8;2;11;33;KG;36,82;50,39;36,82;1953,6;8179742,73
2310;3;27;ABW;3;BOG;25;0;580;1;199;1;8;2;11;33;KG;310,67;425,21;310,67;6635,6;27783323,55
2310;3;27;ABW;3;BOG;25;0;580;1;199;1;8;2;11;33;KG;144,12;197,25;144,12;6164,4;25810404,44
2310;3;27;ABW;3;BOG;25;0;580;1;199;1;8;2;25;33;KG;16,66;22,8;16,66;1099,2;4602361,39
2310;3;27;ABW;3;BOG;25;9;239;1;198;1;4;2;25;19;2U;325;657,13;621,43;15457;63692423,34
2310;3;27;ABW;3;BOG;25;9;239;1;198;1;4;2;25;19;2U;21;43,86;41,48;567;2336391,54
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;11;U;4725;160,87;84;1542;6687716,8
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;11;U;250;7,43;4;35;146545,35
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;11;U;1750;30,53;16;242,5;1045087,2
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;11;U;2630;106,17;56;657,6;2824402,45
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;11;U;1660;45,66;24;498;2147191,38
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;11;U;500;115,22;60;316,5;1376905,66
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;11;U;5437;479,68;252;2689,91;11577033,2
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;33;KG;188;355,41;188;2514,24;10734050,48
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;33;KG;60;64,23;60;122,72;517399,3
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;33;KG;55;58,88;55;124,53;525195,12
2310;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;33;KG;168;179,86;168;366,55;1546171,51
2310;3;27;ABW;3;BOG;25;9;249;1;199;1;8;2;25;33;KG;60;64,09;60;122,73;526943,54
2310;3;27;ABW;3;BOG;25;9;249;1;199;1;8;2;25;33;KG;55;58,69;55;124,52;535375,24
2310;3;27;ABW;3;BOG;25;9;249;1;199;1;8;2;25;33;KG;168;179,19;168;366,55;1577244,17
2310;3;27;ABW;3;BOG;68;7;27;1;198;1;8;2;68;67;M3;389,22;250056,72;250056,72;348101,96;1508545745
2310;3;27;ABW;3;BOG;76;9;249;1;198;1;8;2;76;33;KG;474;504;474;3792,59;16032757,04
2310;3;29;BIH;3;BOG;25;8;618;1;198;1;8;2;25;33;KG;5;6;5;40;168558,8
2310;3;29;BIH;3;BOG;25;9;169;1;198;1;8;2;25;11;U;31755;1864,49;577;8891,5;37534489,18
2310;3;29;BIH;3;BOG;25;9;169;1;198;1;8;2;25;11;U;9000;258,5;80;1080;4559101,2
2310;3;40;AGO;3;BOG;11;3;23;1;104;2;8;2;8;11;U;3;305;264;12299,98;52262615,02
2310;3;40;AGO;3;BOG;11;5;275;1;104;2;8;2;8;11;U;30;0,19;0,13;354,87;1507842,63
2310;3;40;AGO;3;BOG;11;5;275;1;104;2;8;2;8;33;KG;9,5;14,46;9,5;299,65;1273212,85
2310;3;40;AGO;3;BOG;11;5;275;1;104;2;8;2;8;33;KG;23,85;36,3;23,85;1455,22;6183229,78
2310;3;40;AGO;3;BOG;11;5;275;1;104;2;8;2;8;33;KG;2,65;4,03;2,65;565,7;2403659,3
2310;3;53;SAU;3;BOG;5;3;23;1;198;1;8;2;5;11;U;920;137;114;766,8;3241562,65
2310;3;53;SAU;3;BOG;5;3;253;1;198;1;8;2;5;11;U;8772;1341;1206;5875,26;24801763,81
2310;3;53;SAU;3;BOG;5;8;618;1;198;1;8;2;5;11;U;11948;1968,66;1711;9418,73;40272653,95
2310;3;53;SAU;3;BOG;5;8;618;1;198;1;8;2;5;33;KG;10;10,33;10;138;601597,2
2310;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;11;U;962;148;144;365,56;1593622,26
2310;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;33;KG;30;35,58;30;121,2;512749,93
2310;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;33;KG;20;23,72;20;118,2;500058,1
