FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2312;3;53;SAU;3;BOG;5;8;618;1;198;1;8;2;5;11;U;60;5;4;6;23492,58
2312;3;53;SAU;3;BOG;5;8;618;1;198;1;8;2;5;33;KG;319;365,11;319;2526;9920735,52
2312;3;53;SAU;3;BOG;5;9;169;1;198;1;8;2;5;11;U;2088;322;288;1421,28;5684309,87
2312;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;11;U;70;5,06;5;7;27408,01
2312;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;11;U;23307;3941,81;3257,2;18140,27;72069743,83
2312;3;53;SAU;3;BOG;5;9;249;1;198;1;8;2;5;11;U;2205;77,11;76;1377,1;5392645,39
2312;3;53;SAU;3;BOG;11;3;23;1;104;1;8;2;13;11;U;4;0,5;0,25;11207,66;44192139,6
2312;3;53;SAU;3;BOG;11;3;23;1;104;1;8;2;13;11;U;4;0,5;0,25;2248,48;8865824,09
2312;3;53;SAU;3;BOG;11;3;23;1;198;1;8;2;11;82;M2;53,2;434;280;68634;271507867,9
2312;3;53;SAU;3;BOG;11;3;23;1;198;1;8;2;11;11;U;3;80;72;11274,25;43090747,21
2312;3;53;SAU;3;BOG;11;3;23;1;104;2;8;2;11;11;U;1;46;30;50;199925,5
2312;3;53;SAU;3;BOG;11;8;618;1;198;1;6;2;11;11;U;3750;35,74;34;1395;5579874,45
2312;3;53;SAU;3;BOG;11;8;618;1;198;1;6;2;11;11;U;800;17,87;17;152;607986,32
2312;3;53;SAU;3;BOG;11;8;618;1;198;1;6;2;11;11;U;1560;525,84;500;1474,5;5897867,29
2312;3;53;SAU;3;BOG;11;8;618;1;198;1;6;2;11;11;U;500;17,87;17;150;599986,5
2312;3;53;SAU;3;BOG;11;8;618;1;198;1;6;2;11;33;KG;109;114,62;109;1630;6519853,3
2312;3;53;SAU;3;BOG;11;8;618;1;198;1;8;2;11;11;U;2846;837;812;10472,13;41705257,72
2312;3;53;SAU;3;BOG;11;8;618;1;198;1;8;2;11;33;KG;3960;4290;3960;18596,16;71075453,32
2312;3;53;SAU;3;BOG;11;8;618;1;198;1;8;2;11;33;KG;180;192;180;2466;9862594,38
2312;3;53;SAU;3;BOG;11;8;618;1;198;1;8;2;11;11;U;1;109;84;4878,2;19427431,5
2312;3;53;SAU;3;BOG;11;8;618;1;198;1;8;2;11;11;U;6;134;100,24;13693,04;55391359,26
2312;3;53;SAU;3;BOG;13;8;618;1;198;1;8;2;13;33;KG;44004;44695;44004;220790,07;863959005,7
2312;3;53;SAU;3;BOG;13;9;249;1;198;1;8;2;13;33;KG;12960;12960;12960;32373,8;128949701,5
2312;3;53;SAU;3;BOG;15;7;827;1;198;1;8;2;15;33;KG;238;293,35;238;1077,73;4180294,53
2312;3;53;SAU;3;BOG;15;7;827;1;198;1;8;2;15;33;KG;164;199,42;164;876,8;3400892,57
2312;3;53;SAU;3;BOG;15;7;827;1;198;1;8;2;15;33;KG;328;403,5;328;715,92;2770826,65
