ADUA,COD_PAI4,CANTI,FOBDOL,FOBPES
3,BRA,68,2510,9650166
3,BRA,120,3120,12345091
3,BRA,7,37503,149990623
3,BRA,1536,5963,23545420
3,BRA,2,160,638328
3,BRA,28935,20541,81804254
3,BRA,1,33,130900
3,BRA,60,2592,10363058
3,BRA,4,1546,6115790
3,BRA,14,417,1646541
3,BRA,53,1359,5377188
3,BRA,7000,1249,4996058
3,BRA,13,385,1522935
3,BRA,4,1475,5708995
3,BRA,1,3763,14885976
3,BRA,19,168,664588
3,BRA,5,1714,6780378
3,BRA,2,536,2120352
3,BRA,2,4693,18729200
3,BRA,6,502,1985852
3,BRA,2,214,846558
3,BRA,4,14,55382
3,BRA,2,42,166147
3,BRA,6,408,1613171
3,BRA,10,4418,17477078
3,BRA,2,6,23735
3,BRA,44,458,1811365
3,BRA,2,60,237353
3,BRA,4,408,1613999
3,BRA,1,20000,79970200
3,BRA,1,50,199158
3,BRA,97,1075,4109468
3,BRA,33,232,888627
3,BRA,1,1206,4821913
3,BRA,1,38191,152118729
3,BRA,1,24456,97412116
3,BRA,1,24456,97412116
3,BRA,2,15446,61621353
3,BRA,81,896,3424557
3,BRA,33,232,888627
3,BRA,500,1577,6105277
3,BRA,2,259772,992861955
3,BRA,22325,8596,34293111
3,BRA,45,148,592448
3,BRA,932,4219,16809408
3,BRA,1842,10522,41929513
3,BRA,2902,18069,71961624
3,BRA,50,156,615972
3,BRA,485,11776,46997920
3,BRA,4,6737,25901870
3,BRA,3,13986,53774243
3,BRA,1,272,1075266
3,BRA,974,4777,18903657
3,BRA,1,138,543990
3,BRA,1,338,1334607
3,BRA,1,12,48764
3,BRA,900,5769,22747340
3,BRA,1,10916,43549928
3,BRA,6,56,221917
3,BRA,4,1008,4028739
3,BRA,3,1207,4827121
3,BRA,1,21,83409
3,BRA,4,694,2774806
3,BRA,292,8984,35923334
3,BRA,1650,2832,11325780
3,BRA,5,5001,19996708
3,BRA,30,1582,6324043
3,BRA,46,173,693422
3,BRA,45,22713,90818517
3,BRA,3266,25464,101817859
3,BRA,402,4561,18238324
3,BRA,36,10378,41498136
3,BRA,5,5251,20996776
3,BRA,62,5235,20933559
3,BRA,1000,300,1180367
3,BRA,119,147529,587628264
3,BRA,24,85,337716
3,BRA,584,2666,10617345
3,BRA,96,298,1185192
3,BRA,750,4245,16904916
3,BRA,653,3797,15123146
3,BRA,32,136,541620
3,BRA,21,80,319874
3,BRA,374,241337,945199873
3,BRA,32,400,1582704
3,BRA,2,32620,131237432
3,BRA,196,355,1404650
3,BRA,0,120,478829
3,BRA,18,282,1103329
3,BRA,5201,4218797,16559499733
3,BRA,104173,981,3884787
3,BGR,55,15054,60207419
3,CMR,67,288,1151836
3,CAN,40,56,223020
3,CAN,45,17,68193
3,CAN,16,22,90522
3,CAN,82,1689,6790519
3,CAN,172,4149,16410495
3,CAN,1154,40906,162720635
3,CAN,383,10412,41519576
3,CAN,172,3536,14011670
3,CAN,415,9799,38778717
3,CAN,12,56,218996
3,CAN,525,4094,16367901
3,CAN,3201,25999,103955662
3,CAN,12,102,410590
3,CAN,43,991,3947501
3,CAN,13,387,1518049
3,CAN,25,333,1317500
3,CAN,40,155,619300
3,CAN,21,83,325626
3,CAN,40,1901,7574870
3,CAN,8,115,457186
3,CAN,30,461,1844913
3,CAN,41,621,2471748
3,CAN,114,2084,8290286
3,CAN,10,16,62812
3,CAN,6,56,219843
3,CAN,4245,2555,10114294
3,CAN,15500,3410,13351616
3,CAN,400,100,391543
3,CAN,2000,440,1722789
3,CAN,19,240,939703
3,CAN,8357,1815,7233226
3,CAN,964,1312,5196769
3,CAN,4130,917,3628313
3,CAN,16083,8836,35030769
3,CAN,4456,960,3822662
3,CAN,524,2836,11252939
3,CAN,3096,25192,100734622
3,CAN,1007,7330,29311497
3,CAN,819,3174,12697314
3,CAN,240,582,2329548
3,CAN,1994,9728,38909125
3,CAN,55,343,1372538
3,CAN,2540,12551,50185381
3,CAN,1439,7560,30210956
3,CAN,16222,77312,308827382
3,CAN,1098,10172,39829438
3,CAN,2181,16592,64966381
3,CAN,18,244,954973
3,CAN,6,292,1142914
3,CAN,1477,753,2957165
3,CAN,25,252,989294
3,CAN,22,2520,9999723
3,CAN,2,140,548160
3,CAN,35156,9904,39431915
3,CAN,3800,692,2756260
3,CAN,18344,2980,11878012
3,CAN,4920,1174,4643654
3,CAN,20976,7160,28486271
3,CAN,600,198,791887
3,CAN,7250,1121,4400788
3,CAN,22175,3570,14016962
3,CAN,12525,49215,194329212
3,CAN,325,162,642974
3,CAN,1244,1600,6355538
3,CAN,3000,1238,4980734
3,CAN,17840,2855,11345932
3,CAN,115070,10810,42754230
3,CAN,741,1325,5331156
3,CAN,12716,65279,258288738
3,CAN,174975,47471,186848822
3,CAN,120006,18500,73692697
3,CAN,135077,21067,83928084
3,CAN,1569,408,1631152
3,CAN,28840,6922,27847050
3,CAN,72190,11323,45135764
3,CAN,27364,6938,27791148
3,CAN,2,1227,4855617
3,CAN,2400,410,1639963
3,CAN,500,75,301741
3,CAN,5600,1502,6044551
3,CAN,30800,8263,33245112
3,CAN,12914,3089,12323281
3,CAN,487,2370,9535008
3,CAN,10520,1157,4627076
3,CAN,72,432,1727356
3,CAN,1600,252,991013
3,CAN,400,72,283146
3,CAN,11,750,2999932
3,CAN,9650,2606,10421766
3,CAN,950,5818,23269876
3,CAN,45,323,1291971
3,CAN,275400,82809,331226335
3,CAN,1250,212,834226
3,CAN,5580,932,3657247
3,CAN,108,444,1752678
3,CAN,2290,730,2918384
3,CAN,2040,396,1582174
3,CAN,1432,552,2209285
3,CAN,105,472,1889731
3,CAN,301,1942,7764973
3,CAN,40,5,19572
3,CAN,205,1454,5792546
3,CAN,7554,32400,129031009
3,CAN,298,3239,12898415
3,CAN,668,2631,10499887
3,CAN,126,461,1843257
3,CAN,3045,9948,39685165
3,CAN,1,1260,4975160
3,CAN,3,7340,28982284
3,CAN,68050,13771,55249391
3,CAN,84180,12697,51033652
3,CAN,125123,18061,72252273
3,CAN,96,124,484887
3,CAN,18,8,30540
3,CAN,264,499,1952703
3,CAN,6420,1798,7232122
3,CAN,33,3092,12338883
3,CAN,762,2896,11457115
3,CAN,24,48,191928
3,CAN,26055,12767,50898195
3,CAN,1582,13570,52535576
3,CAN,86867,32226,128891063
3,CAN,13418,2078,8282208
3,CAN,31871,6145,24504003
3,CAN,7413,1436,5741181
3,CAN,10730,2268,8980468
3,CAN,2667,1378,5530393
3,CAN,3686,900,3588681
